date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:39:27	146/146	---M-Z	200	added ('OK')	text/plain	etag:%2283956-1702806788;gz%22	https://spurdocoin.com/robots.txt		(from )
11:39:28	69477/69477	---M-Z	200	added ('OK')	text/html	etag:%2280860-1702721664;gz%22	https://spurdocoin.com/	/Users/tkatyal/websites/spurdo/spurdocoin.com/index.html	(from )
11:39:29	707/707	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2022%20Dec%202023%2006:09:27%20GMT	http://spurdocoin.com/wp-content/uploads/2023/04/spurdo-sparde.gif	/Users/tkatyal/websites/spurdo/spurdocoin.com/wp-content/uploads/2023/04/spurdo-sparde.0.delayed	(from https://spurdocoin.com/)
11:39:30	67168/67168	---M-Z	200	added ('OK')	text/css	etag:%2210660-63ecf86b-d06bf704eafbe633;gz%22	https://spurdocoin.com/wp-content/plugins/loftloader-pro/assets/css/loftloader.min.css?ver=2022022501	/Users/tkatyal/websites/spurdo/spurdocoin.com/wp-content/plugins/loftloader-pro/assets/css/loftloader.min3a45.css	(from https://spurdocoin.com/)
11:39:31	1039/1039	---M-Z	200	added ('OK')	application/rss+xml	etag:%22625c1f94f130255a0bbdf5d54aef0ec4%22	https://spurdocoin.com/index.php/feed/	/Users/tkatyal/websites/spurdo/spurdocoin.com/index.php/feed/index.html	(from https://spurdocoin.com/)
11:39:32	104484/104484	---M-Z	200	added ('OK')	text/css	etag:%2219824-652f99b1-93c8b6ce72ccd886;gz%22	https://spurdocoin.com/wp-includes/css/dist/block-library/style.min.css?ver=6.3.2	/Users/tkatyal/websites/spurdo/spurdocoin.com/wp-includes/css/dist/block-library/style.mine35d.css	(from https://spurdocoin.com/)
11:39:32	717/717	---M-Z	200	added ('OK')	application/rss+xml	etag:%22625c1f94f130255a0bbdf5d54aef0ec4%22	https://spurdocoin.com/index.php/comments/feed/	/Users/tkatyal/websites/spurdo/spurdocoin.com/index.php/comments/feed/index.html	(from https://spurdocoin.com/)
11:39:32	6051/6051	---M-Z	200	added ('OK')	text/css	etag:%2217a3-63ece5c9-dc20978134c8829e;gz%22	https://spurdocoin.com/wp-content/themes/hello-elementor/style.min.css?ver=2.6.1	/Users/tkatyal/websites/spurdo/spurdocoin.com/wp-content/themes/hello-elementor/style.minc141.css	(from https://spurdocoin.com/)
11:39:33	15672/15672	---M-Z	200	added ('OK')	text/css	etag:%223d38-63ece5c9-ecf470639dbb7da3;gz%22	https://spurdocoin.com/wp-content/themes/hello-elementor/theme.min.css?ver=2.6.1	/Users/tkatyal/websites/spurdo/spurdocoin.com/wp-content/themes/hello-elementor/theme.minc141.css	(from https://spurdocoin.com/)
11:39:34	85698/85698	---M-Z	200	added ('OK')	text/css	etag:%2214ec2-63ece5ea-26cae4d86a714b62;gz%22	https://spurdocoin.com/wp-content/plugins/elementor/assets/css/frontend-lite.min.css?ver=3.11.0	/Users/tkatyal/websites/spurdo/spurdocoin.com/wp-content/plugins/elementor/assets/css/frontend-lite.minf416.css	(from https://spurdocoin.com/)
